theTimes theMdot theDWR theX theY theZ theAltitude theVx theVy theVz thePitch theYaw theAOA theMach thePdyn theFlux theThrust theDrag theAcc theAccProp theGuidFlag theVrel theFPARel theFPA theLON theLAT theNGV theDV_drag theDV_Prop theIncidence theSideslip theApogeeAltitude theInclination theMass Flag_HSSep Flag_MPLSep stage thePOS_ECI_x thePOS_ECI_y thePOS_ECI_z theVEL_ECI_x theVEL_ECI_y theVEL_ECI_z theVREL_ECI_x theVREL_ECI_y theVREL_ECI_z
0.2220258384 2895.3 0 918066.044 -5530509.832 3031388.718 0.1260668729 403.4542913 65.96333416 0.545865705 1.570796327 3.050848418 0.002613700953 0.003339075495 0.790770174 0.8985144886 8222578.514 2.500788517 14.91333836 14.9133429 1 1.136252375 1.565367143 0.002779366904 -1.40631231 0.4985072101 14.91333836 3.359498732e-07 3.309216402 -0.002613698073 -3.880179797e-06 -4856.630747 0.495691758 551357.1686 0 0 1 918066.044 -5530509.832 3031388.718 403.4542913 65.96333416 0.545865705 0.1631542427 -0.9830975464 0.545865705
0.2539880888 2895.3 0 918078.9397 -5530507.726 3031388.737 0.1650028517 403.4776669 65.82247428 0.6245991064 1.570796327 3.050848418 0.002613086774 0.00382069602 1.035334836 1.346082527 8222581.183 3.274005665 14.91584529 14.91585123 1 1.300142215 1.565367748 0.003180252506 -1.40631231 0.4985072101 14.91584529 5.033486075e-07 3.785920489 -0.002613083004 -4.438856137e-06 -4856.571413 0.4956917581 551264.6283 0 0 1 918078.9397 -5530507.726 3031388.737 403.4776669 65.82247428 0.6245991064 0.1866833993 -1.124897793 0.6245991064
0.2859503393 2895.3 0 918091.8362 -5530505.624 3031388.758 0.2091783844 403.5010533 65.68154485 0.7033708295 1.570796327 3.050848418 0.002612476037 0.004302552765 1.312943552 1.922296682 8222584.21 4.15161004 14.91835352 14.91836105 1 1.464112207 1.565368348 0.003581333173 -1.40631231 0.4985072101 14.91835352 7.186369243e-07 4.262704771 -0.002612471257 -4.997552292e-06 -4856.504082 0.4956917582 551172.088 0 0 1 918091.8362 -5530505.624 3031388.758 403.5010533 65.68154485 0.7033708295 0.2102231202 -1.266767646 0.7033708295
0.3179125897 2895.3 0 918104.7333 -5530503.527 3031388.782 0.2585960282 403.5244507 65.54054583 0.7821808944 1.570796327 3.050848418 0.002611868739 0.004784645943 1.623643895 2.643555927 8222587.597 5.1337317 14.92086305 14.92087237 1 1.628162392 1.565368944 0.003982608884 -1.40631231 0.4985072101 14.92086305 9.878885598e-07 4.739569296 -0.002611862829 -5.556266783e-06 -4856.428749 0.4956917583 551079.5477 0 0 1 918104.7333 -5530503.527 3031388.782 403.5244507 65.54054583 0.7821808944 0.2337734113 -1.408707143 0.7821808944
0.3498748401 2895.3 0 918117.6313 -5530501.435 3031388.808 0.3132583527 403.547859 65.39947719 0.8610293214 1.570796327 3.050848418 0.002611264879 0.005266975762 1.967483395 3.52630635 8222591.343 6.220500521 14.9233739 14.92338518 1 1.792292813 1.565369534 0.004384079614 -1.40631231 0.4985072101 14.9233739 1.317187849e-06 5.216514113 -0.002611257719 -6.1149982e-06 -4856.345408 0.4956917584 550987.0074 0 0 1 918117.6313 -5530501.435 3031388.808 403.547859 65.39947719 0.8610293214 0.2573342787 -1.55071632 0.8610293214
0.3978182158 2895.3 0 918136.9795 -5530498.304 3031388.852 0.4050912196 403.5829919 65.18774359 0.9793739349 1.570796327 3.050848418 0.002610365532 0.005990914656 2.545482447 5.18931974 8222597.636 8.047150835 14.9271426 14.92715721 1 2.038638981 1.565370412 0.004986651318 -1.40631231 0.4985072102 14.9271426 1.93801609e-06 5.932081997 -0.002610356272 -6.95312384e-06 -4856.205364 0.4956917587 550848.1969 0 0 1 918136.9795 -5530498.304 3031388.852 403.5829919 65.18774359 0.9793739349 0.2926954229 -1.763860816 0.9793739349
0.4457615914 2895.3 0 918156.3295 -5530495.184 3031388.902 0.5087390421 403.6181493 64.97585313 1.097804977 1.570796327 3.050848418 0.002609473913 0.006715387183 3.198311568 7.308672587 8222604.739 10.10998596 14.93091426 14.93093261 1 2.285165917 1.565371278 0.005589661677 -1.40631231 0.4985072102 14.93091426 2.728285178e-06 6.647830805 -0.002609462282 -7.791279252e-06 -4856.047262 0.4956917589 550709.3865 0 0 1 918156.3295 -5530495.184 3031388.902 403.6181493 64.97585313 1.097804977 0.3280803968 -1.977162299 1.097804977
0.4937049671 2895.3 0 918175.6812 -5530492.074 3031388.957 0.6242105002 403.6533313 64.76380568 1.216322515 1.570796327 3.050848418 0.002608590016 0.007440394055 3.926130669 9.94046724 8222612.653 12.4094419 14.93468885 14.93471139 1 2.531873766 1.565372135 0.006193110607 -1.40631231 0.4985072103 14.93468885 3.708663773e-06 7.3637607 -0.002608575743 -8.629459632e-06 -4855.87108 0.4956917592 550570.576 0 0 1 918175.6812 -5530492.074 3031388.957 403.6533313 64.76380568 1.216322515 0.3634892203 -2.190620892 1.216322515
0.5416483427 2895.3 0 918195.0345 -5530488.974 3031389.018 0.7515142635 403.688538 64.55160112 1.334926618 1.570796327 3.050848418 0.002607713836 0.008165935987 4.72909945 13.14104501 8222621.377 14.94595369 14.93846639 14.93849355 1 2.778762669 1.56537298 0.006796998023 -1.40631231 0.4985072103 14.93846639 4.8998741e-06 8.079871843 -0.00260769665 -9.467660026e-06 -4855.676796 0.4956917595 550431.7656 0 0 1 918195.0345 -5530488.974 3031389.018 403.688538 64.55160112 1.334926618 0.3989219135 -2.40423672 1.334926618
0.6135634062 2895.3 0 918224.0677 -5530484.343 3031389.121 0.9646744793 403.7413941 64.23299943 1.51299523 1.570796327 3.050848418 0.002606414025 0.00925525369 6.074807105 19.13221507 8222635.985 19.19615044 14.94413823 14.94417312 1 3.149435815 1.565374229 0.007703651113 -1.40631231 0.4985072104 14.94413823 7.130717363e-06 9.154378778 -0.002606391959 -1.072498738e-05 -4855.351379 0.4956917601 550223.5499 0 0 1 918224.0677 -5530484.343 3031389.121 403.7413941 64.23299943 1.51299523 0.4521157527 -2.724955547 1.51299523
